eng,deu,eng_google,deu_google
Booking.com website indicated that I could pay with travelers' checks and avoid the 3.5% credit card fee but it turned out they didn't accept travelers' checks. Because they wanted payment on arrival I didn't have (didn't make) time to go to a bank.,"da wir unten geschlafen haben,war es uns nur möglich einspaltbreit das Fenster aufzulassen.mMckenschutz wäre daher angebracht.das würde auch andere tiere abhalten.man könnte wenn es heiss ist das Fenster auflassen.","Since we slept downstairs, we were only able to leave the window open a crack. Mosquito repellent would therefore be advisable. This would also keep other animals away. You could leave the window open when it&#39;s hot.","Auf der Website von Booking.com hieß es, ich könne mit Reiseschecks bezahlen und so die Kreditkartengebühr von 3,5 % vermeiden. Es stellte sich jedoch heraus, dass sie keine Reiseschecks akzeptierten. Da die Zahlung bei der Ankunft verlangt wurde, hatte ich keine Zeit, zu einer Bank zu gehen (und habe es auch nicht geschafft)."
"However, under no circumstances should the need for organs lead to the commercialisation of the process.",Unter keinen Umständen darf der Bedarf an Spenderorganen jedoch zur Kommerzialisierung des Prozesses führen.,"However, under no circumstances should the need for donor organs lead to the commercialization of the process.",Der Bedarf an Organen darf jedoch keinesfalls zur Kommerzialisierung des Verfahrens führen.
Very handy to jump between two directories.,Sehr praktisch wenn man zwischen 2 Ordner hin und her springen will.,Very useful if you want to jump back and forth between two folders.,"Sehr praktisch, um zwischen zwei Verzeichnissen zu springen."
Named views make it easy to guide users to the design data they need. The familiar toolbar makes DWFAnywhere easy to learn and use.,Die vertraute Umgebung erleichtert Ihnen den schnellen und einfachen Umgang mit DWFAnywhere.,The familiar environment makes it quick and easy for you to use DWFAnywhere.,Benannte Ansichten erleichtern den Benutzern die Suche nach den benötigten Konstruktionsdaten. Dank der vertrauten Symbolleiste ist DWFAnywhere leicht zu erlernen und zu verwenden.
"In your ignorance, you mistake the shadows of real people and objects parading unseen behind you, for reality itself.","In deiner Dummheit hälst du die Schatten für die wirklichen Menschen und Dinge, die ungesehen hinter dir entlang laufen, für die wahre Realität.","In your stupidity, you mistake the shadows for real people and things that move unseen behind you, for true reality.","In Ihrer Unwissenheit verwechseln Sie die Schatten echter Menschen und Objekte, die unsichtbar hinter Ihnen vorbeiziehen, mit der Realität selbst."
"Each year, the Group packs industrial cargo of a value of over 1 billion Euros.",Pro Jahr verpackt dpl ein Industriegütervolumen im Wert von mehr als eine Mrd. Euro.,"Every year, dpl packages industrial goods worth more than one billion euros.",Jährlich verpackt die Gruppe Industriegüter im Wert von über 1 Milliarde Euro.
"Thus one must now recognise that several Member States are still quite far from reaching this objective and, as a result, the objectives approved in 2002 need to be reviewed now.","Inzwischen müssen wir eingestehen, dass einige Mitgliedstaaten noch immer recht weit vom Erreichen dieses Ziels entfernt sind und die 2002 verabschiedeten Vorgaben überprüft werden müssen.",We must now acknowledge that some Member States are still quite far from achieving this objective and that the targets adopted in 2002 need to be reviewed.,"Man muss nun erkennen, dass mehrere Mitgliedstaaten noch weit von der Verwirklichung dieses Ziels entfernt sind und dass die im Jahr 2002 beschlossenen Ziele daher nun überprüft werden müssen."
"Still excuse, I really lost confidence in them, and I no longer believe them.","Noch Entschuldigung, ich verlor das Vertrauen in sie, und ich glaube nicht mehr an sie.","Sorry, I lost trust in her and I don&#39;t believe in her anymore.","Trotzdem eine Entschuldigung, ich habe wirklich das Vertrauen in sie verloren und glaube ihnen nicht mehr."
This would coordinate the prosecution of the crimes I have just mentioned.,"Dabei geht es um die Koordinierung der strafrechtlichen Verfolgung der Straftaten, die ich soeben genannt habe.",This involves coordinating the prosecution of the crimes I have just mentioned.,Dadurch würde die Verfolgung der gerade genannten Verbrechen koordiniert.
Buying more than one product makes the delivery free of charge.,Beim Kauf von mehr als ein Produkt ist die Lieferung kostenlos.,"If you purchase more than one product, delivery is free.",Beim Kauf mehrerer Produkte ist die Lieferung kostenlos.
"Today, most Messier objects are easy to find with a small telescope.",Heutzutage sind die Messier Objekte leicht mit einem kleinen Teleskop zu finden.,"Today, Messier objects are easy to find with a small telescope.",Heute sind die meisten Messier-Objekte mit einem kleinen Teleskop leicht zu finden.
"The European Union, to be specific, is currently seeing the arrival of huge numbers of immigrants, and since Commissioner Lamy is here, and he has been so concerned with the problems of globalisation, I would like to say that I believe we are dealing with another aspect of the phenomenon of that globalisation.","Ich möchte die Gelegenheit der Anwesenheit von Kommissar Lamy nutzen, der sich so viel mit den Problemen der Globalisierung befasst hat, und meine Ansicht äußern, dass wir es hier mit einem Aspekt der Globalisierung oder Internationalisierung zu tun haben.","I would like to take the opportunity of Commissioner Lamy being here, who has devoted so much time to the problems of globalisation, to express my view that we are dealing here with an aspect of globalisation or internationalisation.","Genauer gesagt erlebt die Europäische Union derzeit eine enorme Einwanderungswelle. Und da Herr Kommissar Lamy hier ist und sich so sehr mit den Problemen der Globalisierung beschäftigt, möchte ich sagen, dass wir es hier meines Erachtens mit einem weiteren Aspekt des Phänomens dieser Globalisierung zu tun haben."
It cannot replace it but it can and it must complement it.,"Nein, er kann ihn nicht ersetzen, er kann, er muss, er soll ihn ergänzen!","No, it cannot replace him, it can, it must, it should complement him!","Es kann es nicht ersetzen, aber es kann und muss es ergänzen."
Please feel free to check out our wedding photography website.,Weitere Informationen: Hochzeitsfotograf (auf photophil.ch) und mehr Fotos auf hochzeitsfotograf-schweiz.ch .,Further information: Wedding photographer (on photophil.ch) and more photos on hochzeitsfotograf-schweiz.ch .,Schauen Sie sich gerne unsere Website zur Hochzeitsfotografie an.
"The violent conflict between the so-called red shirts and the government, backed by the army, has already resulted in more than 70 people being killed and almost 2 000 injured.","Die Gewalt, die in der Auseinandersetzung zwischen den sogenannten Rothemden und der Regierung, unterstützt von der Armee, stattgefunden hat, hat bereits mehr als 70 Todesopfer gefordert und annähernd 2 000 Menschen wurden verletzt.","The violence that has taken place in the clash between the so-called Red Shirts and the government, supported by the army, has already claimed more than 70 lives and injured nearly 2,000 people.",Der gewaltsame Konflikt zwischen den sogenannten Rothemden und der von der Armee unterstützten Regierung hat bereits mehr als 70 Todesopfer gefordert und fast 2.000 Menschen verletzt.
"For the summer, though for the summer.","Noch auf den Sommer, obwohl noch auf den Sommer.","Still looking forward to summer, although still looking forward to summer.","Für den Sommer, aber für den Sommer."
Each of these clones then marches forth to conquer the cyber world.,"Jeder dieser Klone marschiert dann weiter, quer durch die ganze Cyber-Welt.","Each of these clones then marches on, across the entire cyber world.","Jeder dieser Klone marschiert dann aus, um die Cyberwelt zu erobern."
"It was constructed in Hebron by King Herod over the traditional site of the cave of Machpelah, which was purchased by Abraham as a family burial site ( Gen. 23 ).","König Herodes ließ es in Hebron über der Stelle errichten, an der sich der Überlieferung nach die Höhle von Machpela befindet, die Abraham als Familiengrabstätte gekauft hatte (Gen 23).","King Herod had it built in Hebron over the site where, according to tradition, the Cave of Machpelah is located, which Abraham had bought as a family burial place (Gen 23).","Es wurde von König Herodes in Hebron an der Stelle der traditionellen Höhle von Machpela errichtet, die Abraham als Familiengrabstätte erworben hatte (Gen 23)."
People should not be left in the dark about these issues.,"Wir müssen dafür sorgen, dass die Menschen Kenntnis von diesen Fragen erhalten.",We need to make sure people are aware of these issues.,Die Menschen sollten über diese Fragen nicht im Unklaren gelassen werden.
The company has been engaged with the issues of waste incineration for almost twenty years.,Die Firma beschäftigt sich mit der Abfallverbrennung seit nahezu 20 Jahren.,The company has been involved in waste incineration for almost 20 years.,Das Unternehmen beschäftigt sich seit fast zwanzig Jahren mit dem Thema Müllverbrennung.
All vehicles from DOLL's S (low-bed semitrailers) series are developed with the greatest of care in conjunction with the customer in order to be able to integrate special wishes.,"Alle Fahrzeuge der DOLL S-Reihe (Semisattelauflieger) werden sorgfältigst in Zusammenarbeit mit dem Kunden entwickelt, um Sonderwünsche integrieren zu können.",All vehicles in the DOLL S series (semi-semi-trailers) are carefully developed in cooperation with the customer in order to be able to integrate special requests.,"Alle Fahrzeuge der S-Reihe (Tieflader) von DOLL werden mit größter Sorgfalt gemeinsam mit dem Kunden entwickelt, um auch Sonderwünsche integrieren zu können."
